USAF,WBAN,STATION NAME,CTRY,STATE,LAT,LON,Geocoded_City,Geocoded_County
722515,12926,CORPUS CHRISTI NAS,US,TX,27.688,-97.292,Corpus Christi,Nueces County
722516,12928,KINGSVILLE NAS,US,TX,27.509,-97.804,,Kleberg County
722517,12932,ALICE INTERNATIONAL ARPT,US,TX,27.741,-98.025,Alice,Jim Wells County
722517,99999,ALICE INTL,US,TX,27.733,-98.017,,Jim Wells County
722518,12974,NAVAL AUXILIARY LANDING FD,US,TX,27.895,-98.043,,Jim Wells County
722518,99999,ORANGE GROVE NALF,US,TX,27.9,-98.05,,Jim Wells County
722519,99999,PORT ARANSAS COAST GUARD STATION,US,TX,27.83,-97.07,Port Aransas,Nueces County
722520,12907,LAREDO INTERNATIONAL AIRPORT,US,TX,27.533,-99.467,Laredo,Webb County
722520,12920,LAREDO INTL AIRPORT,US,TX,27.55,-99.467,Laredo,Webb County
722520,99999,LAREDO INTL AIRPORT,US,TX,27.55,-99.467,Laredo,Webb County
722521,99999,LAREDO INTL,US,TX,27.617,-99.517,Laredo,Webb County
722523,12970,STINSON MINICIPAL AIRPORT,US,TX,29.339,-98.472,San Antonio,Bexar County
722523,99999,STINSON MUNI,US,TX,29.333,-98.467,San Antonio,Bexar County
722524,12972,ARANSAS COUNTY AIRPORT,US,TX,28.084,-97.047,Rockport,Aransas County
722524,99999,ARANSAS CO,US,TX,28.083,-97.05,Rockport,Aransas County
722525,12920,LAREDO AIR FORCE BASE,US,TX,27.544,-99.461,Laredo,Webb County
722525,99999,LAREDO INTL ARPT,US,TX,27.617,-99.517,Laredo,Webb County
722526,12947,COTULLA-LA SALLE CO ARPT,US,TX,28.459,-99.223,,La Salle County
722527,12976,BRAZORIA COUNTY AIRPORT,US,TX,29.115,-95.463,,Brazoria County
722527,99999,BRAZORIA CO,US,TX,29.117,-95.467,,Brazoria County
722530,12921,SAN ANTONIO INTERNATIONAL AIRPORT,US,TX,29.544,-98.484,San Antonio,Bexar County
722533,12962,HONDO MUNICIPAL AIRPORT,US,TX,29.36,-99.174,Hondo,Medina County
722535,12909,LACKLAND AIR FORCE BASE (KELLY FIELD ANNEX),US,TX,29.383,-98.583,,Bexar County
722535,99999,LACKLAND AFB KELLY,US,TX,29.383,-98.583,,Bexar County
722536,12911,RANDOLPH AFB AIRPORT,US,TX,29.533,-98.262,,Bexar County
722536,99999,RANDOLPH AFB,US,TX,29.517,-98.267,Schertz,Bexar County
722537,12961,KRVL MUNI/LUIS SHRER FD AP,US,TX,29.983,-99.083,Kerrville,Kerr County
722537,99999,KERRVILLE MUNI,US,TX,29.977,-99.086,Kerrville,Kerr County
722539,12979,SAN MARCOS MUNICIPAL ARPT,US,TX,29.891,-97.864,San Marcos,Caldwell County
722539,99999,SAN MARCOS MUNI,US,TX,29.9,-97.867,San Marcos,Caldwell County
722540,13904,AUSTIN-BERGSTROM INTL AIRPORT,US,TX,30.183,-97.68,Austin,Travis County
